Nombre,Plataforma,Año,Género,Compañía,USA,Europa,Japón,Otros
Diddy Kong Racing,Nintendo 64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1
Monster Hunter Freedom 3,PlayStation Portable,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0
Super Smash Bros. for Wii U and 3DS,Nintendo WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38
Dr. Mario,NES (Nintendo Entertainment System),1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58
Assassin's Creed,PlayStation3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82
God of War III,PlayStation3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61
Crash Team Racing,PlayStation,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21
LEGO Star Wars: The Complete Saga,Nintendo Dual Screen,2007,Action,LucasArts,2.83,1.48,0.0,0.45
Driver 2,PlayStation,2000,Action,Atari,2.36,2.1,0.02,0.25
Batman: Arkham City,Xbox360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42
The Last of Us,PlayStation4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77
The Simpsons: Hit & Run,PlayStation2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79
Tony Hawk's Pro Skater 2,PlayStation,2000,Sports,Activision,3.05,1.41,0.02,0.2
The Lord of the Rings: The Two Towers,PlayStation2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7
Tomb Raider,PlayStation,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24
Animal Crossing: City Folk,Nintendo Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36
Uncharted: The Nathan Drake Collection,PlayStation4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76
The Legend of Zelda: A Link to the Past,Super Nintendo Entertainment System,1991,Action,Nintendo,2.42,0.91,1.15,0.13
The Legend of Zelda: The Wind Waker,Nintendo GameCube,2002,Action,Nintendo,2.6,0.99,0.89,0.13
Guitar Hero III: Legends of Rock,Nintendo Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43
Luigi's Mansion: Dark Moon,Nintendo 3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29
Forza Motorsport 4,Xbox360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46
Mario & Sonic at the Olympic Winter Games,Nintendo Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48
Madden NFL 2005,PlayStation2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08
Guitar Hero III: Legends of Rock,Xbox360,2007,Misc,Activision,3.19,0.91,0.01,0.42
Pitfall!,Atari 2600,1981,Platform,Activision,4.21,0.24,0.0,0.05
Madden NFL 07,PlayStation2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61
Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41
Spider-Man: The Movie,PlayStation2,2002,Action,Activision,2.71,1.51,0.03,0.23
Dragon Quest VII: Warriors of Eden,PlayStation,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02
Call of Duty: Infinite Warfare,PlayStation4,2016,Shooter,Activision,1.61,2.0,0.15,0.71
God of War,PlayStation2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43
Splatoon,Nintendo WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26
Nintendo Land,Nintendo WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33
Tony Hawk's Pro Skater 3,PlayStation2,2001,Sports,Activision,2.66,1.29,0.01,0.46
Winning Eleven: Pro Evolution Soccer 2007,PlayStation2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86
The Elder Scrolls IV: Oblivion,Xbox360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4
Zelda II: The Adventure of Link,NES (Nintendo Entertainment System),1987,Adventure,Nintendo,2.19,0.5,1.61,0.08
Need for Speed: Most Wanted,PlayStation2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47
Michael Jackson: The Experience,Nintendo Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39
Call of Duty: Advanced Warfare,PlayStation3,2014,Shooter,Activision,1.56,1.93,0.19,0.68
Resistance: Fall of Man,PlayStation3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75
Sonic the Hedgehog,Sega Genesis,1991,Platform,Sega,3.03,0.91,0.26,0.13
Kingdom Hearts II,PlayStation2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17
The Legend of Zelda: Ocarina of Time,Nintendo 3DS,2011,Action,Nintendo,2.09,1.31,0.62,0.31
Super Mario 3D World,Nintendo WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32
Minecraft,PlayStation4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68
Asteroids,Atari 2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05
Call of Duty: Advanced Warfare,Xbox360,2014,Shooter,Activision,2.77,1.11,0.0,0.4
FIFA 15,PlayStation3,2014,Sports,Electronic Arts,0.58,3.02,0.04,0.64
Fable II,Xbox360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41
Namco Museum,Game Boy Advance,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07
Batman: Arkham Asylum,PlayStation3,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61
Metal Gear Solid 3: Snake Eater,PlayStation2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93
Assassin's Creed: Revelations,PlayStation3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7
